OrdenEst;OrdenCorrida;PtCentral;Bloques;Clip;Celo_ala;Celo_cuerpo;Largo_ala;Largo_cuerpo;Ancho_cuerpo;Tiempo
24;1;1;1;no;no;no;6.5;9.5;4;1.55
16;2;1;1;no;no;no;9.5;6.5;4;2.186
10;3;1;1;no;si;si;9.5;6.5;4;1.993
4;4;1;1;no;no;si;6.5;6.5;4;0.986
6;5;1;1;no;si;no;6.5;6.5;4;1.19
38;6;0;1;no;si;no;8;8;5;1.63
15;7;1;1;si;no;no;9.5;6.5;6;1.784
1;8;1;1;si;si;si;6.5;6.5;4;0.884
20;9;1;1;no;no;si;6.5;9.5;6;1.207
39;10;0;1;si;no;no;8;8;5;1.401
17;11;1;1;si;si;si;6.5;9.5;6;0.946
35;12;0;1;si;no;si;8;8;5;1.148
8;13;1;1;no;no;no;6.5;6.5;6;1.16
30;14;1;1;no;si;no;9.5;9.5;4;1.224
12;15;1;1;no;no;si;9.5;6.5;6;2.173
14;16;1;1;no;si;no;9.5;6.5;6;2.13
2;17;1;1;no;si;si;6.5;6.5;6;0.878
5;18;1;1;si;si;no;6.5;6.5;6;0.863
34;19;0;1;no;si;si;8;8;5;1.451
7;20;1;1;si;no;no;6.5;6.5;4;0.88
23;21;1;1;si;no;no;6.5;9.5;6;1.065
37;22;0;1;si;si;no;8;8;5;1.284
40;23;0;1;no;no;no;8;8;5;1.283
11;24;1;1;si;no;si;9.5;6.5;4;2.024
13;25;1;1;si;si;no;9.5;6.5;4;2.044
21;26;1;1;si;si;no;6.5;9.5;4;1.244
32;27;1;1;no;no;no;9.5;9.5;6;1.102
22;28;1;1;no;si;no;6.5;9.5;6;1.529
19;29;1;1;si;no;si;6.5;9.5;4;1.045
9;30;1;1;si;si;si;9.5;6.5;6;1.747
28;31;1;1;no;no;si;9.5;9.5;4;1.349
33;32;0;1;si;si;si;8;8;5;1.262
27;33;1;1;si;no;si;9.5;9.5;6;0.904
31;34;1;1;si;no;no;9.5;9.5;4;1.038
29;35;1;1;si;si;no;9.5;9.5;6;1.164
3;36;1;1;si;no;si;6.5;6.5;6;0.915
25;37;1;1;si;si;si;9.5;9.5;4;1.104
26;38;1;1;no;si;si;9.5;9.5;6;1.6
36;39;0;1;no;no;si;8;8;5;1.634
18;40;1;1;no;si;si;6.5;9.5;4;1.425
64;41;1;2;si;si;si;9.5;6.5;6;2.124
56;42;1;2;si;si;si;6.5;9.5;6;0.952
50;43;1;2;si;no;no;6.5;9.5;6;1.196
44;44;1;2;si;si;no;9.5;9.5;6;0.959
46;45;1;2;si;no;si;9.5;9.5;6;0.864
78;46;0;2;no;si;no;8;8;5;1.399
55;47;1;2;no;si;si;6.5;9.5;4;1.029
41;48;1;2;no;no;no;9.5;9.5;6;1.367
60;49;1;2;si;si;no;9.5;6.5;4;2.187
79;50;0;2;si;no;no;8;8;5;1.014
57;51;1;2;no;no;no;9.5;6.5;4;2.289
75;52;0;2;si;no;si;8;8;5;1.173
48;53;1;2;si;si;si;9.5;9.5;4;0.763
70;54;1;2;si;no;si;6.5;6.5;6;0.87
52;55;1;2;si;si;no;6.5;9.5;4;1.178
54;56;1;2;si;no;si;6.5;9.5;4;1.049
42;57;1;2;si;no;no;9.5;9.5;4;1.095
45;58;1;2;no;no;si;9.5;9.5;4;1.058
74;59;0;2;no;si;si;8;8;5;1.317
47;60;1;2;no;si;si;9.5;9.5;6;1.156
63;61;1;2;no;si;si;9.5;6.5;4;2.146
77;62;0;2;si;si;no;8;8;5;1.27
80;63;0;2;no;no;no;8;8;5;1.354
51;64;1;2;no;si;no;6.5;9.5;6;1.194
53;65;1;2;no;no;si;6.5;9.5;6;1.478
61;66;1;2;no;no;si;9.5;6.5;6;1.98
72;67;1;2;si;si;si;6.5;6.5;4;1.131
62;68;1;2;si;no;si;9.5;6.5;4;1.753
59;69;1;2;no;si;no;9.5;6.5;6;2.03
49;70;1;2;no;no;no;6.5;9.5;4;1.223
68;71;1;2;si;si;no;6.5;6.5;6;0.813
73;72;0;2;si;si;si;8;8;5;1.256
67;73;1;2;no;si;no;6.5;6.5;4;1.082
71;74;1;2;no;si;si;6.5;6.5;6;1.222
69;75;1;2;no;no;si;6.5;6.5;4;0.94
43;76;1;2;no;si;no;9.5;9.5;4;1.361
65;77;1;2;no;no;no;6.5;6.5;6;1.164
66;78;1;2;si;no;no;6.5;6.5;4;0.912
76;79;0;2;no;no;si;8;8;5;1.469
58;80;1;2;si;no;no;9.5;6.5;6;2.023
